Player,Game1,Game2,Game3,Game4,Game5,Game6
Torrey Craig,11,10,12,9,7,10
Shaedon Sharpe,21,12,7,4,27,24
Kevin Durant,33,25,18,31,15,28
Marcus Smart,25,29,6,5,12,22
Maozinha Pereira,13,17,7,17,8,6
Josh Giddey,14,21,13,20,20,14
Cameron Johnson,13,13,17,12,14,13
Ayo Dosunmu,10,19,14,24,15,13
Jaime Jaquez Jr.,12,14,16,21,18,20
Toumani Camara,17,12,16,11,11,7
Ausar Thompson,14,9,8,15,13,7
Daniel Gafford,12,5,9,13,16,8
Nickeil Alexander-Walker,14,6,14,5,16,10
Jusuf Nurkić,3,10,9,10,3,6
Talen Horton-Tucker,12,16,24,17,19,27
Tim Hardaway Jr.,13,7,22,13,23,16
Bruce Brown,16,5,18,11,10,9
Taurean Prince,9,6,9,8,8,12
Onuralp Bitim,6,9,17,10,18,17
Jamal Cain,16,16,22,39,22,21
Christian Braun,10,11,19,8,11,5
Haywood Highsmith,8,9,0,9,9,9
Malik Williams,0,6,22,19,17,15
Clint Capela,22,13,6,19,6,11
Scotty Pippen Jr.,15,28,18,14,24,16
Dean Wade,3,0,9,6,6,17
Chris Duarte,18,12,7,5,13,10
Jalen Brunson,17,31,44,18,26,29
Dennis Smith Jr.,6,12,8,8,10,13
Karl-Anthony Towns,28,25,14,15,16,23
Kyle Lowry,0,7,9,8,18,7
Anthony Davis,17,25,33,32,32,20
Troy Brown Jr.,6,4,15,5,5,5
Nick Richards,8,12,12,4,11,2
Devin Booker,49,23,20,18,23,21
Bilal Coulibaly,15,10,11,11,11,7
Jordan Poole,24,29,20,29,16,22
Draymond Green,12,0,15,6,5,11
LeBron James,30,30,26,26,27,23
James Harden,16,7,33,21,22,28
Victor Wembanyama,34,18,33,17,23,32
Derrick Jones Jr.,11,5,5,9,11,4
Jacob Gilyard,13,28,32,0,11,12
John Konchar,6,0,6,9,13,3
Jeff Green,21,14,9,19,11,4
Anthony Black,10,4,20,2,13,9
Blake Wesley,17,7,9,10,12,28
Cam Whitmore,21,11,18,14,19,5
Al Horford,9,8,5,10,7,23
Isaiah Stewart,12,10,15,12,5,8
Jordan Walsh,13,15,15,18,27,22
